NBOpptyID,NBOpptyName,NBContactName
0069A00000IWEeWQAX,ACW300_NewBizOppty_830,PerfTest ACW300_Contact_830
0069A00000IWEcLQAX,ACW300_NewBizOppty_379,PerfTest ACW300_Contact_379
0069A00000IWEoXQAX,ACW300_NewBizOppty_515,PerfTest ACW300_Contact_515
0069A00000IWEmZQAX,ACW300_NewBizOppty_261,PerfTest ACW300_Contact_261
0069A00000IWEesQAH,ACW300_NewBizOppty_60,PerfTest ACW300_Contact_60
0069A00000IWEsZQAX,ACW300_NewBizOppty_784,PerfTest ACW300_Contact_784
0069A00000IWEwDQAX,ACW300_NewBizOppty_177,PerfTest ACW300_Contact_177
0069A00000IWEaXQAX,ACW300_NewBizOppty_8,PerfTest ACW300_Contact_8
0069A00000IWEaYQAX,ACW300_NewBizOppty_226,PerfTest ACW300_Contact_226
0069A00000IWEhfQAH,ACW300_NewBizOppty_40,PerfTest ACW300_Contact_40
0069A00000IWED9QAP,ACW300_NewBizOppty_537,PerfTest ACW300_Contact_537
0069A00000IWExRQAX,ACW300_NewBizOppty_440,PerfTest ACW300_Contact_440
0069A00000IWEvGQAX,ACW300_NewBizOppty_559,PerfTest ACW300_Contact_559
0069A00000IWEV4QAP,ACW300_NewBizOppty_438,PerfTest ACW300_Contact_438
0069A00000IWF01QAH,ACW300_NewBizOppty_633,PerfTest ACW300_Contact_633
0069A00000IWF19QAH,ACW300_NewBizOppty_885,PerfTest ACW300_Contact_885
0069A00000IWF4CQAX,ACW300_NewBizOppty_619,PerfTest ACW300_Contact_619
0069A00000IWF5PQAX,ACW300_NewBizOppty_924,PerfTest ACW300_Contact_924
0069A00000IWF63QAH,ACW300_NewBizOppty_488,PerfTest ACW300_Contact_488
0069A00000IWEqPQAX,ACW300_NewBizOppty_489,PerfTest ACW300_Contact_489
0069A00000IWF7fQAH,ACW300_NewBizOppty_967,PerfTest ACW300_Contact_967
0069A00000IWExSQAX,ACW300_NewBizOppty_29,PerfTest ACW300_Contact_29
0069A00000IWEmpQAH,ACW300_NewBizOppty_405,PerfTest ACW300_Contact_405
0069A00000IWFAeQAP,ACW300_NewBizOppty_580,PerfTest ACW300_Contact_580
0069A00000IWEnRQAX,ACW300_NewBizOppty_982,PerfTest ACW300_Contact_982
0069A00000IWF5pQAH,ACW300_NewBizOppty_26,PerfTest ACW300_Contact_26
0069A00000IWEEXQA5,ACW400_NewBizOppty_604,PerfTest ACW400_Contact_604
0069A00000IWFHgQAP,ACW400_NewBizOppty_165,PerfTest ACW400_Contact_165
0069A00000IWFJIQA5,ACW400_NewBizOppty_974,PerfTest ACW400_Contact_974
0069A00000IWFH7QAP,ACW400_NewBizOppty_240,PerfTest ACW400_Contact_240
0069A00000IWD9PQAX,ACW400_NewBizOppty_519,PerfTest ACW400_Contact_519
0069A00000IWF7HQAX,ACW400_NewBizOppty_248,PerfTest ACW400_Contact_248
0069A00000IWFKZQA5,ACW400_NewBizOppty_536,PerfTest ACW400_Contact_536
0069A00000IWBqgQAH,ACW400_NewBizOppty_466,PerfTest ACW400_Contact_466
0069A00000IWFKVQA5,ACW400_NewBizOppty_730,PerfTest ACW400_Contact_730
0069A00000IWF7gQAH,ACW400_NewBizOppty_709,PerfTest ACW400_Contact_709
0069A00000IWEQ5QAP,ACW400_NewBizOppty_495,PerfTest ACW400_Contact_495
0069A00000IWFKjQAP,ACW400_NewBizOppty_445,PerfTest ACW400_Contact_445
0069A00000IWFKeQAP,ACW400_NewBizOppty_969,PerfTest ACW400_Contact_969
0069A00000IWDlkQAH,ACW400_NewBizOppty_840,PerfTest ACW400_Contact_840
0069A00000IWEEPQA5,ACW400_NewBizOppty_845,PerfTest ACW400_Contact_845
0069A00000IWDxUQAX,ACW400_NewBizOppty_971,PerfTest ACW400_Contact_971
0069A00000IWFKtQAP,ACW400_NewBizOppty_634,PerfTest ACW400_Contact_634
0069A00000IWF3tQAH,ACW400_NewBizOppty_965,PerfTest ACW400_Contact_965
0069A00000IWFL8QAP,ACW400_NewBizOppty_320,PerfTest ACW400_Contact_320
0069A00000IWE4wQAH,ACW400_NewBizOppty_416,PerfTest ACW400_Contact_416
0069A00000IWFLXQA5,ACW400_NewBizOppty_465,PerfTest ACW400_Contact_465
0069A00000IWE77QAH,ACW400_NewBizOppty_428,PerfTest ACW400_Contact_428
0069A00000IWFIoQAP,ACW400_NewBizOppty_530,PerfTest ACW400_Contact_530
0069A00000IWFE9QAP,ACW400_NewBizOppty_933,PerfTest ACW400_Contact_933
0069A00000IWFLNQA5,ACW400_NewBizOppty_968,PerfTest ACW400_Contact_968
0069A00000IWFIFQA5,ACW400_NewBizOppty_62,PerfTest ACW400_Contact_62
0069A00000IWDHrQAP,ACW400_NewBizOppty_966,PerfTest ACW400_Contact_966
0069A00000IWFLIQA5,ACW400_NewBizOppty_553,PerfTest ACW400_Contact_553
0069A00000IWFKoQAP,ACW400_NewBizOppty_566,PerfTest ACW400_Contact_566
0069A00000IWF8CQAX,ACW400_NewBizOppty_716,PerfTest ACW400_Contact_716
0069A00000IWEEZQA5,ACW400_NewBizOppty_688,PerfTest ACW400_Contact_688
0069A00000IWFKyQAP,ACW400_NewBizOppty_482,PerfTest ACW400_Contact_482
0069A00000IWFL3QAP,ACW400_NewBizOppty_925,PerfTest ACW400_Contact_925
0069A00000IWFG4QAP,ACW400_NewBizOppty_414,PerfTest ACW400_Contact_414
0069A00000IWFLhQAP,ACW400_NewBizOppty_767,PerfTest ACW400_Contact_767
0069A00000IWCPhQAP,ACW400_NewBizOppty_403,PerfTest ACW400_Contact_403
0069A00000IWEwKQAX,ACW400_NewBizOppty_361,PerfTest ACW400_Contact_361
0069A00000IWFLSQA5,ACW400_NewBizOppty_447,PerfTest ACW400_Contact_447
0069A00000IWF9LQAX,ACW400_NewBizOppty_976,PerfTest ACW400_Contact_976
0069A00000IWF74QAH,ACW400_NewBizOppty_269,PerfTest ACW400_Contact_269
0069A00000IWFM1QAP,ACW400_NewBizOppty_628,PerfTest ACW400_Contact_628
0069A00000IWFLwQAP,ACW400_NewBizOppty_487,PerfTest ACW400_Contact_487
0069A00000IWFBfQAP,ACW400_NewBizOppty_537,PerfTest ACW400_Contact_537
0069A00000IWFIzQAP,ACW400_NewBizOppty_312,PerfTest ACW400_Contact_312
0069A00000IWFMBQA5,ACW400_NewBizOppty_557,PerfTest ACW400_Contact_557
0069A00000IWF0dQAH,ACW400_NewBizOppty_285,PerfTest ACW400_Contact_285
0069A00000IWFLmQAP,ACW400_NewBizOppty_877,PerfTest ACW400_Contact_877
0069A00000IWE8JQAX,ACW400_NewBizOppty_791,PerfTest ACW400_Contact_791
0069A00000IWFLcQAP,ACW400_NewBizOppty_871,PerfTest ACW400_Contact_871
0069A00000IWFCIQA5,ACW400_NewBizOppty_974,PerfTest ACW400_Contact_974
0069A00000IWFMGQA5,ACW400_NewBizOppty_851,PerfTest ACW400_Contact_851
0069A00000IWF1BQAX,ACW400_NewBizOppty_780,PerfTest ACW400_Contact_780
0069A00000IWFHDQA5,ACW400_NewBizOppty_697,PerfTest ACW400_Contact_697
0069A00000IWFJNQA5,ACW400_NewBizOppty_279,PerfTest ACW400_Contact_279
0069A00000IWDukQAH,ACW400_NewBizOppty_485,PerfTest ACW400_Contact_485
0069A00000IWFM6QAP,ACW400_NewBizOppty_413,PerfTest ACW400_Contact_413
0069A00000IWFGdQAP,ACW400_NewBizOppty_232,PerfTest ACW400_Contact_232
0069A00000IWFLrQAP,ACW400_NewBizOppty_712,PerfTest ACW400_Contact_712
0069A00000IWFK1QAP,ACW400_NewBizOppty_45,PerfTest ACW400_Contact_45
0069A00000IWEyvQAH,ACW400_NewBizOppty_736,PerfTest ACW400_Contact_736
0069A00000IWCaWQAX,ACW400_NewBizOppty_575,PerfTest ACW400_Contact_575
0069A00000IWFLDQA5,ACW400_NewBizOppty_197,PerfTest ACW400_Contact_197
0069A00000IWFDyQAP,ACW400_NewBizOppty_553,PerfTest ACW400_Contact_553
0069A00000IWFKBQA5,ACW400_NewBizOppty_626,PerfTest ACW400_Contact_626
0069A00000IWFMLQA5,ACW400_NewBizOppty_965,PerfTest ACW400_Contact_965
0069A00000IWFIUQA5,ACW400_NewBizOppty_864,PerfTest ACW400_Contact_864
0069A00000IWFMQQA5,ACW400_NewBizOppty_535,PerfTest ACW400_Contact_535
0069A00000IWFMVQA5,ACW400_NewBizOppty_474,PerfTest ACW400_Contact_474
0069A00000IWFAIQA5,ACW400_NewBizOppty_881,PerfTest ACW400_Contact_881
0069A00000IWFKQQA5,ACW400_NewBizOppty_572,PerfTest ACW400_Contact_572
0069A00000IWFO2QAP,ACW400_NewBizOppty_961,PerfTest ACW400_Contact_961
0069A00000IWFG0QAP,ACW400_NewBizOppty_657,PerfTest ACW400_Contact_657
0069A00000IWFO7QAP,ACW400_NewBizOppty_276,PerfTest ACW400_Contact_276
0069A00000IWEwQQAX,ACW400_NewBizOppty_256,PerfTest ACW400_Contact_256
0069A00000IWF75QAH,ACW400_NewBizOppty_289,PerfTest ACW400_Contact_289
0069A00000IWDHtQAP,ACW400_NewBizOppty_349,PerfTest ACW400_Contact_349
0069A00000IWFMgQAP,ACW400_NewBizOppty_162,PerfTest ACW400_Contact_162
0069A00000IWFC5QAP,ACW400_NewBizOppty_612,PerfTest ACW400_Contact_612
0069A00000IWFORQA5,ACW400_NewBizOppty_245,PerfTest ACW400_Contact_245
0069A00000IWFIKQA5,ACW400_NewBizOppty_328,PerfTest ACW400_Contact_328
0069A00000IWFFQQA5,ACW400_NewBizOppty_605,PerfTest ACW400_Contact_605
0069A00000IWFOCQA5,ACW400_NewBizOppty_119,PerfTest ACW400_Contact_119
0069A00000IWF2tQAH,ACW400_NewBizOppty_221,PerfTest ACW400_Contact_221
0069A00000IWFJJQA5,ACW400_NewBizOppty_272,PerfTest ACW400_Contact_272
0069A00000IWFOHQA5,ACW400_NewBizOppty_754,PerfTest ACW400_Contact_754
0069A00000IWFLsQAP,ACW400_NewBizOppty_706,PerfTest ACW400_Contact_706
0069A00000IWFGfQAP,ACW400_NewBizOppty_362,PerfTest ACW400_Contact_362
0069A00000IWEroQAH,ACW400_NewBizOppty_938,PerfTest ACW400_Contact_938
0069A00000IWFOMQA5,ACW400_NewBizOppty_350,PerfTest ACW400_Contact_350
0069A00000IWEJ7QAP,ACW400_NewBizOppty_335,PerfTest ACW400_Contact_335
0069A00000IWFJ8QAP,ACW400_NewBizOppty_426,PerfTest ACW400_Contact_426
0069A00000IWEM6QAP,ACW400_NewBizOppty_270,PerfTest ACW400_Contact_270
0069A00000IWFMvQAP,ACW400_NewBizOppty_793,PerfTest ACW400_Contact_793
0069A00000IWFIGQA5,ACW400_NewBizOppty_411,PerfTest ACW400_Contact_411
0069A00000IWFMIQA5,ACW400_NewBizOppty_899,PerfTest ACW400_Contact_899
0069A00000IWFLnQAP,ACW400_NewBizOppty_407,PerfTest ACW400_Contact_407
0069A00000IWF5DQAX,ACW400_NewBizOppty_471,PerfTest ACW400_Contact_471
0069A00000IWEdnQAH,ACW400_NewBizOppty_580,PerfTest ACW400_Contact_580
0069A00000IWELKQA5,ACW400_NewBizOppty_177,PerfTest ACW400_Contact_177
0069A00000IWDulQAH,ACW400_NewBizOppty_53,PerfTest ACW400_Contact_53
0069A00000IWFPFQA5,ACW400_NewBizOppty_324,PerfTest ACW400_Contact_324
0069A00000IWFNZQA5,ACW400_NewBizOppty_468,PerfTest ACW400_Contact_468
0069A00000IWFEBQA5,ACW400_NewBizOppty_236,PerfTest ACW400_Contact_236
0069A00000IWFG2QAP,ACW400_NewBizOppty_520,PerfTest ACW400_Contact_520
0069A00000IWFLyQAP,ACW400_NewBizOppty_734,PerfTest ACW400_Contact_734
0069A00000IWFPKQA5,ACW400_NewBizOppty_592,PerfTest ACW400_Contact_592
0069A00000IWFFfQAP,ACW400_NewBizOppty_704,PerfTest ACW400_Contact_704
0069A00000IWFFNQA5,ACW400_NewBizOppty_801,PerfTest ACW400_Contact_801
0069A00000IWFPPQA5,ACW400_NewBizOppty_987,PerfTest ACW400_Contact_987
0069A00000IWE8KQAX,ACW400_NewBizOppty_214,PerfTest ACW400_Contact_214
0069A00000IWFBgQAP,ACW400_NewBizOppty_357,PerfTest ACW400_Contact_357
0069A00000IWEsEQAX,ACW400_NewBizOppty_841,PerfTest ACW400_Contact_841
0069A00000IWCaYQAX,ACW400_NewBizOppty_98,PerfTest ACW400_Contact_98
0069A00000IWFHqQAP,ACW400_NewBizOppty_943,PerfTest ACW400_Contact_943
0069A00000IWEybQAH,ACW400_NewBizOppty_172,PerfTest ACW400_Contact_172
0069A00000IWFJmQAP,ACW400_NewBizOppty_243,PerfTest ACW400_Contact_243
0069A00000IWFOhQAP,ACW400_NewBizOppty_16,PerfTest ACW400_Contact_16
0069A00000IWFJLQA5,ACW400_NewBizOppty_250,PerfTest ACW400_Contact_250
0069A00000IWE72QAH,ACW400_NewBizOppty_183,PerfTest ACW400_Contact_183
0069A00000IWFPUQA5,ACW400_NewBizOppty_27,PerfTest ACW400_Contact_27
0069A00000IWEq7QAH,ACW400_NewBizOppty_448,PerfTest ACW400_Contact_448
0069A00000IWE1gQAH,ACW400_NewBizOppty_123,PerfTest ACW400_Contact_123
0069A00000IWFI2QAP,ACW400_NewBizOppty_711,PerfTest ACW400_Contact_711
0069A00000IWDu8QAH,ACW400_NewBizOppty_305,PerfTest ACW400_Contact_305
0069A00000IWFPZQA5,ACW400_NewBizOppty_744,PerfTest ACW400_Contact_744
0069A00000IWFNoQAP,ACW400_NewBizOppty_231,PerfTest ACW400_Contact_231
0069A00000IWFHOQA5,ACW400_NewBizOppty_932,PerfTest ACW400_Contact_932
0069A00000IWFPjQAP,ACW400_NewBizOppty_546,PerfTest ACW400_Contact_546
0069A00000IWFCJQA5,ACW400_NewBizOppty_671,PerfTest ACW400_Contact_671
0069A00000IWFIeQAP,ACW400_NewBizOppty_204,PerfTest ACW400_Contact_204
0069A00000IWFOmQAP,ACW400_NewBizOppty_371,PerfTest ACW400_Contact_371
0069A00000IWFM8QAP,ACW400_NewBizOppty_175,PerfTest ACW400_Contact_175
0069A00000IWFPoQAP,ACW400_NewBizOppty_184,PerfTest ACW400_Contact_184
0069A00000IWFKkQAP,ACW400_NewBizOppty_89,PerfTest ACW400_Contact_89
0069A00000IWFEsQAP,ACW400_NewBizOppty_259,PerfTest ACW400_Contact_259
0069A00000IWFPeQAP,ACW400_NewBizOppty_739,PerfTest ACW400_Contact_739
0069A00000IWFPyQAP,ACW400_NewBizOppty_622,PerfTest ACW400_Contact_622
0069A00000IWFKYQA5,ACW400_NewBizOppty_234,PerfTest ACW400_Contact_234
0069A00000IWF4fQAH,ACW400_NewBizOppty_33,PerfTest ACW400_Contact_33
0069A00000IWFJPQA5,ACW400_NewBizOppty_5,PerfTest ACW400_Contact_5
0069A00000IWFLdQAP,ACW400_NewBizOppty_773,PerfTest ACW400_Contact_773
0069A00000IWFQ3QAP,ACW400_NewBizOppty_891,PerfTest ACW400_Contact_891
0069A00000IWF3SQAX,ACW400_NewBizOppty_142,PerfTest ACW400_Contact_142
0069A00000IWFLPQA5,ACW400_NewBizOppty_653,PerfTest ACW400_Contact_653
0069A00000IWFEJQA5,ACW400_NewBizOppty_434,PerfTest ACW400_Contact_434
0069A00000IWFNUQA5,ACW400_NewBizOppty_47,PerfTest ACW400_Contact_47
0069A00000IWF7IQAX,ACW400_NewBizOppty_379,PerfTest ACW400_Contact_379
0069A00000IWDBFQA5,ACW400_NewBizOppty_412,PerfTest ACW400_Contact_412
0069A00000IWFEmQAP,ACW400_NewBizOppty_148,PerfTest ACW400_Contact_148
0069A00000IWFPtQAP,ACW400_NewBizOppty_125,PerfTest ACW400_Contact_125
0069A00000IWFOrQAP,ACW400_NewBizOppty_945,PerfTest ACW400_Contact_945
0069A00000IWFLTQA5,ACW400_NewBizOppty_40,PerfTest ACW400_Contact_40
0069A00000IWFFlQAP,ACW400_NewBizOppty_614,PerfTest ACW400_Contact_614
0069A00000IWFN5QAP,ACW400_NewBizOppty_251,PerfTest ACW400_Contact_251
0069A00000IWFO3QAP,ACW400_NewBizOppty_906,PerfTest ACW400_Contact_906
0069A00000IWDumQAH,ACW400_NewBizOppty_124,PerfTest ACW400_Contact_124
0069A00000IWFFWQA5,ACW400_NewBizOppty_986,PerfTest ACW400_Contact_986
0069A00000IWFJjQAP,ACW400_NewBizOppty_948,PerfTest ACW400_Contact_948
0069A00000IWF0sQAH,ACW400_NewBizOppty_11,PerfTest ACW400_Contact_11
0069A00000IWFQ8QAP,ACW400_NewBizOppty_266,PerfTest ACW400_Contact_266
0069A00000IWFDLQA5,ACW400_NewBizOppty_652,PerfTest ACW400_Contact_652
0069A00000IWFKGQA5,ACW400_NewBizOppty_958,PerfTest ACW400_Contact_958
0069A00000IWFMqQAP,ACW400_NewBizOppty_944,PerfTest ACW400_Contact_944
0069A00000IWEeuQAH,ACW400_NewBizOppty_340,PerfTest ACW400_Contact_340
0069A00000IWFNAQA5,ACW400_NewBizOppty_459,PerfTest ACW400_Contact_459
0069A00000IWFRBQA5,ACW400_NewBizOppty_559,PerfTest ACW400_Contact_559
0069A00000IWCPjQAP,ACW400_NewBizOppty_985,PerfTest ACW400_Contact_985
0069A00000IWFPvQAP,ACW400_NewBizOppty_941,PerfTest ACW400_Contact_941
0069A00000IWFQnQAP,ACW400_NewBizOppty_770,PerfTest ACW400_Contact_770
0069A00000IWFNtQAP,ACW400_NewBizOppty_541,PerfTest ACW400_Contact_541
0069A00000IWD9QQAX,ACW400_NewBizOppty_902,PerfTest ACW400_Contact_902
0069A00000IWFLVQA5,ACW400_NewBizOppty_417,PerfTest ACW400_Contact_417